Week ,total deaths,undetected,hospitalized,quarantined,active cases,undetected recovered,recovered,suceptible,vaccinated (not cummulative)
12/16,1,49870.464,13,12454.616,12467.616,138998.496,34749.624,1267795.184,0
12/23,1,54507.264,9,13617.816,13626.816,154499.52,38624.88,1241463.704,91
12/30,0,52960.32,2,13238.08,13240.08,175843.584,43960.896,1217105.04,107
1/6/21,0,53731.104,4,13428.776,13432.776,197246.784,49311.696,1189194.864,353
1/13,1,60793.824,3,15195.456,15198.456,217864.416,54466.104,1152827.744,466
1/20,1,60583.488,6,15139.872,15145.872,238148.736,59537.184,1127787.848,864
1/27,0,54370.848,10,13582.712,13592.712,261889.824,65472.456,1107431.448,881
2/3,1,43297.632,6,10818.408,10824.408,286081.824,71520.456,1093800.272,1781
2/10,2,35193.984,1,8797.496,8798.496,304913.28,76228.32,1082415.424,991
2/17,0,26823.552,5,6700.888,6705.888,321078.912,80269.728,1074766.032,1008
2/24,0,22399.104,5,5594.776,5599.776,332465.28,83116.32,1067169.744,1390
3/3,1,19185.6,3,4793.4,4796.4,341876.64,85469.16,1060224.8,1620
3/10,1,17562.72,4,4386.68,4390.68,349495.776,87373.944,1053135.2,1514
3/17,1,17066.784,5,4261.696,4266.696,356483.904,89120.976,1045143.944,1900
3/24,0,18395.328,8,4590.832,4598.832,362892.096,90723.024,1035141.888,4300
3/31,1,21444.192,9,5352.048,5361.048,369211.584,92302.896,1022668.232,8700
