Week ,total deaths,undetected,hospitalized,quarantined,active cases,undetected recovered,recovered,suceptible,vaccinated (not cumulative)
12/16,0,59369.6,12,14830.4,14842.4,165474.4,41368.6,669052.6,0
12/23,2,64889.6,15,16207.4,16222.4,183928,45982,637703.6,5896
12/30,5,63048,13,15749,15762,209337.6,52334.4,608701,8049
1/6/21,5,63965.6,12,15979.4,15991.4,234817.6,58704.4,575474.6,9394
1/13,4,72373.6,10,18083.4,18093.4,259362.4,64840.6,532182.6,10637
1/20,4,72123.2,11,18019.8,18030.8,283510.4,70877.6,502373.2,13221
1/27,4,64727.2,7,16174.8,16181.8,311773.6,77943.4,478138.2,14703
2/3,3,51544.8,4,12882.2,12886.2,340573.6,85143.4,461912.8,15144
2/10,5,41897.6,9,10465.4,10474.4,362992,90748,448358.6,10628
2/17,3,31932.8,12,7971.2,7983.2,382236.8,95559.2,439251.8,9068
2/24,3,26665.6,3,6663.4,6666.4,395792,98948,430208.6,10547
3/3,7,22840,3,5707,5710,406996,101749,421938,7251
3/10,4,20908,6,5221,5227,416066.4,104016.6,413501,12862
3/17,2,20317.6,6,5073.4,5079.4,424385.6,106096.4,403989.6,17900
3/24,2,21899.2,3,5471.8,5474.8,432014.4,108003.6,392081.2,28300
3/31,2,25528.8,1,6381.2,6382.2,439537.6,109884.4,377232.8,38200
